Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Property_Type,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,Buyer_Concession_to_Seller,Buyer_Concession_$/%,Seller_Concession_to_Buyer,Seller_Concession_$/%
85015,SF,3,1,"1,645",213.37,Residential,Detached,1941,"9,426",None,269.47,N,Yes,BASEMENT Y/N: N,Yes,"350,000","351,000",Clustered,Yes,,2,0,Other,Other,0,$,0,$
85015,SF,3,2,"1,008",355.15,Residential,Detached,1956,"16,281",None,215,N,,BASEMENT Y/N: N,Yes,"398,000","358,000",String,,,1,0,Cash,Fixed,0,$,0,$
85015,TH,3,2,"1,894",197.99,Residential,Attached,1974,"3,123",Community,230,N,,BASEMENT Y/N: N,Yes,"389,500","375,000",,,,2,0,Conventional,Fixed,0,$,800,$
85015,TH,4,2.5,"1,584",216.48,Residential,Attached,1965,"1,752",Community,0,N,,BASEMENT Y/N: N,Yes,"342,900","342,900",,,,0,2,Conventional,Fixed,0,$,7500,$
85015,SF,3,2,"1,793",245.34,Residential,Detached,1956,"8,381",Private,230,N,,BASEMENT Y/N: N,,"439,900","439,900",,,,0,1,Conventional,Other,0,$,10195.32,$
85015,TH,2,2,"1,034",290.14,Residential,Attached,1973,"2,078",None,272,N,,BASEMENT Y/N: N,,"310,000","300,000",,,,0,2,FHA,Fixed,0,$,13000,$
85015,TH,1,1,648,234.56,Residential,Attached,1954,756,None,360,N,,BASEMENT Y/N: N,,"180,000","152,000",,,,0,1,Cash,Fixed,0,$,0,$
85015,AF,2,2,789,228.13,Residential,Attached,1986,90,Community,308,N,,BASEMENT Y/N: N,,"200,000","180,000",,,,0,1,Conventional,Fixed,0,$,0,$
85015,SF,3,1.75,"1,302",307.18,Residential,Detached,1958,"7,157",None,228,N,,BASEMENT Y/N: N,,"399,950","399,950",,,,1,0,Conventional,Fixed,0,$,1,%
85015,SF,3,2,"1,403",387.03,Residential,Detached,1945,"9,365",None,160,N,,BASEMENT Y/N: N,,"530,000","543,000",,,,1,1,FHA,Fixed,0,$,23500,$
85015,AF,2,2.5,"1,349",240.91,Residential,Attached,2004,97,Community,,N,,BASEMENT Y/N: N,,"325,000","325,000",,,,2,0,Conventional,Fixed,0,%,3,%
85015,SF,4,2,"1,168",209.76,Residential,Detached,1948,"3,900",None,,N,,BASEMENT Y/N: N,,"245,000","245,000",,,,0,0,Conventional,Fixed,2170,$,0,$
85015,SF,3,2,"1,621",228.25,Residential,Detached,1950,"7,410",None,,N,,BASEMENT Y/N: N,,"375,000","370,000",,,,0,0,Cash,Fixed,0,$,0,$
85015,AF,2,1.75,863,229.43,Residential,Stacked,1985,863,Community,,N,,BASEMENT Y/N: N,,"195,000","198,000",,,,0,1,Conventional,Fixed,0,%,5,%
85015,SF,4,2,"2,277",199.82,Residential,Detached,1958,"8,638",Private,,N,,BASEMENT Y/N: N,,"459,000","455,000",,,,0,2,FHA,Other,0,$,10000,$
85015,TH,3,1.5,"1,226",188.01,Residential,Attached,1981,"69,805",Community,,N,,BASEMENT Y/N: N,,"237,650","230,500",,,,0,1,Conventional,,0,$,7000,$
85015,TH,4,2.75,"1,608",172.88,Residential,Attached,1967,"2,187",Community,,N,,BASEMENT Y/N: N,,"278,000","278,000",,,,0,2,FHA,,0,$,12400,$
85015,SF,2,1,936,454.05,Residential,Detached,1951,"8,181",None,,N,,BASEMENT Y/N: N,,"424,900","425,000",,,,1,0,Conventional,,0,$,3,%
85015,SF,3,1,"1,275",276.08,Residential,Detached,1954,"6,939",None,,N,,BASEMENT Y/N: N,,"349,999","352,000",,,,0,1,FHA,,0,$,0,$
